source_id	publisher	vintage	url	use	boundary
HHS-POVERTY-2026	HHS ASPE	2026-01	https://aspe.hhs.gov/topics/poverty-economic-mobility/poverty-guidelines	price-year and household-scale anchor	guidelines are not program eligibility rules or poverty population estimates
USDA-FNS-SNAP-ANNUAL-2025	USDA Food and Nutrition Service	FY2024-FY2025; data as of 2026-07-10	https://www.fns.usda.gov/sites/default/files/resource-files/snap-annualsummary-7.pdf	national participation benefit and federal-cost baseline	figures are subject to revision; participation is not eligibility or take-up and reported costs do not establish need performance or savings
USDA-FNS-SNAP-RPT-FY2024	USDA Food and Nutrition Service	FY2024	https://www.fns.usda.gov/snap/qc/timeliness/rpt-fy24	California recertification application processing timeliness baseline	timeliness is not access adequacy accuracy or a postimplementation result
CA-LAO-CALFRESH-ADMIN-2026-27	California Legislative Analyst's Office	2026-03-25	https://lao.ca.gov/Publications/Report/5149	CalFresh H.R. 1 administration workload funding shares and caseload-related offsets	Governor budget proposal; oral notice cost excluded; caseload contraction is not delivery efficiency
CA-LAO-FOOD-ASSISTANCE-2026-27	California Legislative Analyst's Office	2026-02-25	https://lao.ca.gov/Publications/Report/5126	affected-person benefit-loss phase-in and broader CalFresh fiscal context	groups may overlap; projected benefit loss is not administrative savings or an observed outcome
CA-CDSS-CALFRESH-DASHBOARD-2026-07-28	California Department of Social Services	2026-07-28	https://www.cdss.ca.gov/inforesources/data-portal/research-and-data/calfresh-data-dashboard	state and county operations timeliness quality denial and churn comparison surface	operations end May 2026 error measures end February 2026 churn ends 2020 Q4 and county-month gaps may reflect validation concerns; raw workbook SHA-256 9f14ce5193b5b6e5fea7086d80bf96469ee4ff16986c578f5ade9f396c446c3a
CA-SHD-HEARINGS-FY2025-26	California Department of Social Services State Hearings Division	FY2025-26	https://www.cdss.ca.gov/Portals/9/SHD/SHD%20Hearing%20Data%20Summary%20Report%20FY%202025-2026.pdf	CalFresh appeal filing withdrawal scheduling hearing postponement and nonappearance totals	flows are not a single cohort and are not coded to H.R. 1 or the expanded ABAWD requirements
CA-CDSS-ABAWD-IMPLEMENTATION-2026	California Department of Social Services	2026-06-01	https://www.cdss.ca.gov/inforesources/calfresh/abawd	implementation start exemptions notices and county-waiver perimeter	program guidance is not observed access accuracy appeal or adequacy performance
CA-CDSS-CALFRESH-OBSERVATION-READINESS-2026-07-31	California Department of Social Services	checked 2026-07-31; page label 2026-07-28; workbook log 2026-07-29	https://www.cdss.ca.gov/inforesources/data-portal/research-and-data/calfresh-data-dashboard	source freshness and first postimplementation cohort availability	core operations still stop in May; June EBT dollars and a refreshed workbook are not candidate-coded access rights capacity or effect evidence
CA-CDSS-STAT47-2026-08-01	California Department of Social Services	checked 2026-08-01; page update label 2026-06-18	https://www.cdss.ca.gov/inforesources/research-and-data/calfresh-data-tables/stat-47	quarterly ABAWD and work-registrant monitoring surface	files temporarily removed during de-identification update; page metadata is not candidate-coded outcome evidence
CA-CDSS-HR1-ADVISORY-2026-08-01	California Department of Social Services	checked 2026-08-01	https://www.cdss.ca.gov/inforesources/cdss-programs/calfresh-resource-center/meetings-and-conferences/all-partner-hr1-advisory	implementation advisory cadence and meeting materials	advisory materials are implementation context rather than a complete candidate-coded service rights capacity or cost cohort
